Reading no,start(keV),end(keV),net count,gross count,centroid,time,width,comments,peak,net per unit time,net per unit gross,N_0,mu,,gross per unit time,N_0 gross,mu_gross,mu_m,mu_m_for_gross,,mu_m_net avg,mu_m_gross_avg,mu_m_net sd,mu_m_gross_sd,
No barrier,,,,,,,,,,,,,,,,,,,,,,,,,
,600,740,1984,3025,654.854,231,7.3,,,8.588744589,,684.199774,0.599698673,,13.0952381,780.214447,0.559907247,0.222110619,0.207373054,,,,,,
,630,700,859,2248,661.421,231,7.3,,,3.718614719,,125.606095,0.482164649,,9.731601732,553.976298,0.553663852,0.1785795,0.205060686,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
24,590,740,2419,3390,651.92,244,7.3,,656.96,9.913934426,,682.899549,0.579782101,,13.89344262,784.057562,0.552475093,0.214734111,0.204620405,,,,,,
,600,740,2258,3232,654.67,244,7.3,,656.96,9.254098361,,684.199774,0.589477578,,13.24590164,780.214447,0.558340186,0.218325029,0.206792662,,,,,,
,630,700,776,2431,660.404,244,7.3,,656.96,3.180327869,,125.606095,0.503584789,,9.963114754,553.976298,0.550443131,0.186512885,0.203867826,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
25,590,740,1860,3053,652.502,322,8.6,,659.98,5.776397516,,682.899549,0.554950089,,9.48136646,784.057562,0.513390344,0.20553707,0.190144572,,,,,,
,600,740,1884,2925,659.98,322,8.6,,659.98,5.850931677,,684.199774,0.553680493,,9.083850932,780.214447,0.517799255,0.205066849,0.191777502,,,,,,
,630,700,771,2119,661.724,322,8.6,,659.98,2.394409938,,125.606095,0.460467048,,6.580745342,553.976298,0.515462427,0.170543351,0.19091201,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
26,590,740,7692,12175,650.979,1501,8.6,,655.95,5.124583611,,682.899549,0.568872301,,8.111259161,784.057562,0.531538651,0.210693445,0.196866167,,,,,,
,600,740,7219,13408,654.205,1501,8.6,,655.95,4.80946036,,684.199774,0.576473069,,8.932711526,780.214447,0.519750213,0.213508544,0.192500079,,,,,,
,630,700,3566,9674,660.691,1501,8.6,,655.95,2.3757495,,125.606095,0.4613768,,6.445036642,553.976298,0.517885416,0.170880296,0.191809413,,,,,,
Pb,,,,,,,,,,,,,,,,,,,,,0.148665311,0.150606842,0.023505804,0.015342957,
27,590,740,33567,40646,654.368,393,1,,657.96,85.41221374,,682.899549,2.078860065,,103.4249364,784.057562,2.025637704,0.183320993,0.178627663,,,,,,
,600,740,30916,39674,655.838,393,1,,657.96,78.66666667,,684.199774,2.163031881,,100.9516539,780.214447,2.044928461,0.190743552,0.180328788,,,,,,
,630,700,14771,31988,660.965,393,1,,657.96,37.58524173,,125.606095,1.206540125,,81.39440204,553.976298,1.917816693,0.106396836,0.169119638,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
28,590,740,13791,15954,655.179,153,1,,662,90.1372549,,682.899549,2.025015575,,104.2745098,784.057562,2.017456857,0.178572802,0.177906248,,,,,,
,600,740,12501,15560,656.72,153,1,,662,81.70588235,,684.199774,2.125125373,,101.6993464,780.214447,2.037549308,0.187400827,0.17967807,,,,,,
,630,700,6083,12675,661.541,153,1,,662,39.75816993,,125.606095,1.150336201,,82.84313725,553.976298,1.900174274,0.101440582,0.167563869,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
29,590,740,4191,5831,653.201,253,2,,656.96,16.56521739,,682.899549,1.859522559,,23.04743083,784.057562,1.763465254,0.163979062,0.1555084,,,,,,
,600,740,3946,5625,655.331,253,2,,656.96,15.59683794,,684.199774,1.890592144,,22.23320158,780.214447,1.778992234,0.166718884,0.156877622,,,,,,
,630,700,1656,4348,661.19,253,2,,656.96,6.545454545,,125.606095,1.47719096,,17.18577075,553.976298,1.73652124,0.130263753,0.153132384,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
30,590,740,4148,5565,654.613,245,2,,658.97,16.93061224,,682.899549,1.848613452,,22.71428571,784.057562,1.770745384,0.163017059,0.156150387,,,,,,
,600,740,3921,5382,656.667,245,2,,658.97,16.00408163,,684.199774,1.877704338,,21.96734694,780.214447,1.785007047,0.165582393,0.157408029,,,,,,
,630,700,2098,4205,661.838,245,2,,658.97,8.563265306,,125.606095,1.342835504,,17.16326531,553.976298,1.737176439,0.118415829,0.153190162,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
31,590,740,3725,5067,653.109,392,2.4,,661,9.50255102,,682.899549,1.78116265,,12.92602041,784.057562,1.710517848,0.157069017,0.150839316,,,,,,
,600,740,3342,4872,655.423,392,2.4,,661,8.525510204,,684.199774,1.827162509,,12.42857143,780.214447,1.724822345,0.161125442,0.152100736,,,,,,
,630,700,1613,3684,661.237,392,2.4,,661,4.114795918,,125.606095,1.4244016,,9.397959184,553.976298,1.698596703,0.125608607,0.149788069,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
32,590,740,3564,5727,653.74,445,2.4,,658.97,8.008988764,,682.899549,1.852410941,,12.86966292,784.057562,1.712338489,0.163351935,0.150999867,,,,,,
,600,740,3832,5501,656.116,445,2.4,,658.97,8.611235955,,684.199774,1.822993762,,12.36179775,780.214447,1.727066963,0.160757827,0.152298674,,,,,,
,630,700,2000,4209,661.288,445,2.4,,658.97,4.494382022,,125.606095,1.387635351,,9.458426966,553.976298,1.695924397,0.122366433,0.149552416,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
33,590,740,1658,2404,652.45,603,3.4,,649.9,2.749585406,,682.899549,1.622029808,,3.986733002,784.057562,1.553386439,0.143036138,0.136982931,,,,,,
,600,740,1295,2269,655.841,603,3.4,,649.9,2.147595357,,684.199774,1.695266189,,3.762852405,780.214447,1.568939739,0.149494373,0.138354474,,,,,,
,630,700,554,1557,660.465,603,3.4,,649.9,0.918739635,,125.606095,1.446443117,,2.582089552,553.976298,1.578978394,0.127552303,0.139239717,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
34,590,740,1217,1814,654.07,439,3.4,,642.84,2.772209567,,682.899549,1.619619647,,4.132118451,784.057562,1.542851691,0.142823602,0.136053941,,,,,,
,600,740,1037,1731,656.928,439,3.4,,642.84,2.362186788,,684.199774,1.667254694,,3.943052392,780.214447,1.555181538,0.147024223,0.137141229,,,,,,
